,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.716094542966,0.71539278858,0.731484048445,0.725948704125,0.718921207283
20,0.76373060594,0.76092847849,0.786132799743,0.751913841039,0.741352966283
30,0.777046849864,0.777746150563,0.810664949086,0.761017018563,0.737861387439
40,0.777046849864,0.777746150563,0.821174123628,0.776438508366,0.73927229183
50,0.777046849864,0.777746150563,0.840114321063,0.784125925964,0.739932229866
60,0.799476137897,0.792475752565,0.842219532383,0.800231959787,0.787568310118
70,0.799476137897,0.792475752565,0.840114234666,0.804452335409,0.775003153506
80,0.807188092362,0.80437366192,0.843608284476,0.807948821626,0.788356220009
90,0.807188092362,0.80437366192,0.845011810527,0.814267168463,0.788356220009
100,0.807188092362,0.80437366192,0.847124434745,0.829681279926,0.799547484885
